Affy ID,x,Gene Symbol
235969_at,0.604259309,
206196_s_at,0.603997723,
241612_at,0.603271541,
221168_at,0.602146248,
229818_at,0.600796155,
242127_at,0.599056453,
208065_at,0.598120128,
242999_at,0.597704841,
243173_at,0.595199122,
234314_at,0.591760736,
223618_at,0.591713214,
206601_s_at,0.59051355,
220651_s_at,0.590483651,
227053_at,0.590107361,
204915_s_at,0.589078204,
204465_s_at,0.588117003,
237472_at,0.587878362,
1570032_at,0.587739588,
205678_at,0.58645694,
1553666_at,0.585535033,
1555772_a_at,0.582983293,
208511_at,0.582945128,
1553411_s_at,0.582269607,
1553810_a_at,0.580066756,
204966_at,0.578377993,
1558944_at,0.577157229,
223722_at,0.576844105,
204953_at,0.575482298,
1562473_at,0.574657272,
205938_at,0.574482058,
242070_at,0.574475647,
231220_at,0.573629577,
216959_x_at,0.573245273,
229276_at,0.572951904,
220060_s_at,0.572778719,
1556057_s_at,0.572540698,
206364_at,0.571723232,
205747_at,0.571651137,
204318_s_at,0.569437777,
219990_at,0.569007089,
230935_at,0.568350169,
230040_at,0.567661449,
204641_at,0.566774418,
242890_at,0.566662998,
201291_s_at,0.566505012,
242036_x_at,0.566213778,
210721_s_at,0.563843949,
37892_at,0.563403048,
214636_at,0.563309179,
219502_at,0.562437808,
229305_at,0.562407059,
208443_x_at,0.562038904,
230271_at,0.561965981,
235763_at,0.561410941,
228547_at,0.561410175,
227690_at,0.559856214,
1552381_at,0.559424528,
223913_s_at,0.559328514,
205085_at,0.558565548,
218726_at,0.557323843,
236151_at,0.556172414,
231257_at,0.556125018,
220448_at,0.555914545,
215145_s_at,0.552976367,
203998_s_at,0.552584984,
219277_s_at,0.552264121,
239202_at,0.551926219,
230849_at,0.551532848,
231341_at,0.549887746,
209859_at,0.548976915,
238533_at,0.548846781,
239309_at,0.548690003,
205625_s_at,0.548688439,
203968_s_at,0.548685437,
206013_s_at,0.548422055,
236840_at,0.548021784,
209464_at,0.548001047,
243672_at,0.547874395,
230010_at,0.547766796,
204580_at,0.547364785,
220984_s_at,0.547363041,
211519_s_at,0.547139196,
207039_at,0.546429426,
242045_at,0.545073798,
233446_at,0.543840149,
204584_at,0.542695564,
203001_s_at,0.541405524,
241749_at,0.540311716,
205719_s_at,0.539659136,
214612_x_at,0.539457104,
204817_at,0.539380636,
235681_at,0.538503568,
243368_at,0.538371438,
205626_s_at,0.53793066,
227760_at,0.537870545,
204709_s_at,0.536720142,
241048_at,0.536151388,
221805_at,0.536066829,
1552520_at,0.534394078,
232847_at,0.533412068,
205549_at,0.532659415,
213492_at,0.532021951,
229273_at,0.531876028,
241466_at,0.530394484,
228656_at,0.530390992,
219148_at,0.530011057,
228598_at,0.529674633,
205893_at,0.529060143,
219984_s_at,0.528964427,
209642_at,0.528344923,
230521_at,0.527296738,
219619_at,0.52581073,
229651_at,0.524939537,
1552742_at,0.524887102,
223785_at,0.524867852,
219306_at,0.524069222,
229490_s_at,0.523918531,
213845_at,0.523873515,
205493_s_at,0.522752904,
242054_s_at,0.522283371,
206533_at,0.5220134,
202580_x_at,0.521106747,
239359_at,0.521012702,
214811_at,0.521007079,
229724_at,0.520944423,
204444_at,0.519457307,
208383_s_at,0.519161985,
223570_at,0.51910256,
207074_s_at,0.518979896,
1553479_at,0.518864527,
210206_s_at,0.518762029,
215108_x_at,0.518311064,
229944_at,0.518116771,
239233_at,0.517449383,
202095_s_at,0.517399765,
214524_at,0.517142718,
237116_at,0.517027726,
225655_at,0.516808964,
203440_at,0.516803348,
202870_s_at,0.516255365,
239680_at,0.516242084,
205030_at,0.516238942,
212020_s_at,0.516006561,
206670_s_at,0.514646784,
205034_at,0.512470876,
235226_at,0.51109737,
227578_at,0.510421943,
218663_at,0.510054594,
224520_s_at,0.509969258,
206669_at,0.509920877,
220029_at,0.508606235,
243666_at,0.508534604,
1556235_at,0.508266736,
1566513_a_at,0.508170283,
238695_s_at,0.507392234,
209985_s_at,0.507355381,
1552878_at,0.507313884,
205167_s_at,0.506516198,
