HOXA10,0.513341444
BRIP1,0.512944882
XDH,0.512760678
ARL5B,0.512702828
TMEM40,0.511812709
KIF14,0.511528087
COL17A1,0.511464094
LINC00511 /// LINC00673,0.511275226
SNORA72,0.510894799
SLC7A11,0.510599425
HPS3,0.510257245
ZNF780B,0.510130347
CDC45,0.510104691
FBXO32,0.509913807
CDCA2,0.509426423
CDCA7,0.509125327
FAM83A,0.508041554
CALB1,0.508001024
ZNF280C,0.507075797
ATAD2,0.50698518
LGALS7 /// LGALS7B,0.506937853
PAX9,0.506303518
TMPRSS11E,0.505368442
C4orf46,0.505052965
CEP89,0.505003185
LINC00593,0.504331727
MAP7D2,0.504214637
C1orf74,0.504083975
GPD2,0.503978988
MAP4K5,0.503900022
KISS1R,0.503696668
C5orf22,0.50361418
TIPRL,0.503285726
XKRX,0.502936176
CENPI,0.502851245
MMP11,0.50210492
UBE2C,0.502045962
KIF18A,0.501840298
ATAD2,0.501303805
VIL1,0.500771986
MTMR1,0.500115082
LOC100130548,0.500101007
RP1-78O14.1,-0.502235655
RXFP1,-0.502999101
HHIP,-0.50523518
PGM5,-0.505752878
ZNF385B,-0.508544041
TCF21,-0.508714745
CLDN18,-0.509983208
COL4A3,-0.510732607
KLB,-0.510977641
CLDN18,-0.512090437
ZBTB16,-0.512644565
SSTR1,-0.512852788
SCN7A,-0.516273345
SFTPC,-0.521642731
KCNK3,-0.524549938
SNTN,-0.525758304
SFTA3,-0.526111317
AQP4,-0.526664634
DEFA1 /// DEFA1B /// DEFA3,-0.529218712
PLA2G1B,-0.530662326
SFTPC,-0.534859746
AGTR1,-0.536468217
SCGB1A1,-0.536595674
GRIA1,-0.537137143
BMP5,-0.53740531
WIF1,-0.538127405
NCKAP5,-0.53909196
CYP4B1,-0.541313586
CCDC85A,-0.541451
CLIC5,-0.542555659
AKAP12,-0.543551504
FHL5,-0.543647731
C1QTNF7,-0.543784808
SFTPC,-0.546891535
AQP4,-0.547446808
CNTN6,-0.547842957
ACADL,-0.551905476
VEPH1,-0.552472203
ADAMTS8,-0.552586515
CA4,-0.5542986
LYVE1,-0.556038974
SLC6A4,-0.559423859
ATP1A2,-0.560182425
ADH1B,-0.560529604
TMEM100,-0.566296646
ZNF385B,-0.572025221
AFF3,-0.572389401
SFTPA1 /// SFTPA2,-0.5725224
ITIH5,-0.572658192
ABCA8,-0.574418718
CLDN18,-0.57819343
CA4,-0.578613648
ANGPTL1,-0.58295271
ADAMTS8,-0.589394794
CCDC141,-0.593591834
AQP4,-0.597132348
ANGPTL1,-0.598691275
FAM150B,-0.60317608
FABP4,-0.610076453
CD300LG,-0.615608457
MAMDC2,-0.616576171
SERTM1,-0.633504954
GKN2,-0.633790821
OGN,-0.634371853
AQP4,-0.63490122
NEBL,-0.640259939
GPM6A,-0.643731742
ADH1B,-0.644617692
PPBP,-0.658342919
AGER,-0.667947174
KRR1,-0.669532904
SCARA5,-0.675702724
TNNC1,-0.678288287
LOC101926959,-0.692395858
GPM6A,-0.708791995
GDF10,-0.730887779
CPB2,-0.755843938
CLDN18,-0.773835787
SLC6A4,-1.00319354
