"","x"
"1552449_a_at",-0.238154016235395
"1552450_a_at",-0.070349084432457
"1552452_at",-0.15101893713052
"1552453_a_at",-0.152310412605732
"1552455_at",0.114966709734247
"1552456_a_at",-0.0799346880704057
"1552457_a_at",-0.0291832891098567
"1552458_at",-0.184728459166692
"1552459_a_at",-0.128122928866797
"1552461_at",-0.15737874843929
"1552463_at",-0.267034162364447
"1552466_x_at",-0.127334449687629
"1552467_at",-0.139166157211119
"1552468_a_at",0.121229175840358
"1552470_a_at",0.0938138077021056
"1552472_a_at",0.203810276928482
"1552473_at",-0.01924489788071
"1552474_a_at",0.0520895086937097
"1552476_s_at",-0.0265177944066661
"1552477_a_at",0.276251855611372
"1552478_a_at",0.21586472906899
"1552480_s_at",-0.239377434677292
"1552481_s_at",-0.00965595521211071
"1552482_at",-0.408362704915456
"1552484_at",0.182113139229425
"1552485_at",-0.253358466730147
"1552486_s_at",-0.170047487031237
"1552487_a_at",-0.207626769397016
"1552489_s_at",-0.102741755841073
"1552490_at",-0.0488105411951218
"1552491_at",-0.0519139031706732
"1552493_s_at",-0.15411864793287
"1552494_at",-0.101485024465722
"1552496_a_at",-0.000235636403111972
"1552497_a_at",-0.147558122156596
"1552498_at",0.0386412295425567
"1552499_a_at",0.0846834376819054
"1552501_a_at",-0.164517749188218
"1552502_s_at",-0.103935812251658
"1552503_at",0.0502886627971313
"1552504_a_at",-0.141836213413972
"1552506_at",-0.049067635554491
"1552507_at",-0.0546822274742451
"1552508_at",0.00644820723168071
"1552509_a_at",-0.859529778549815
"1552510_at",0.095980411887209
"1552511_a_at",-0.230120590039302
"1552514_at",-0.0748876614408607
"1552515_at",-0.0715204630765405
"1552516_a_at",0.113550877892655
"1552518_s_at",0.0754796366905834
"1552519_at",0.216109840086496
"1552520_at",0.528148358576482
"1552521_a_at",0.427825455173837
"1552522_at",-0.0691269201557488
"1552523_a_at",-0.0367872871500163
"1552524_at",-0.0125009715841031
"1552526_at",-0.0632840290351524
"1552528_at",-0.0388875084538094
"1552531_a_at",0.473432508751868
"1552532_a_at",0.0784902948340995
"1552535_at",0.12691414873977
"1552536_at",-0.319335586777437
"1552538_a_at",-0.071472078919085
"1552540_s_at",0.0184047493278854
"1552541_at",-0.0184605830394511
"1552542_s_at",-0.237302799214453
"1552543_a_at",-0.0674648491840266
"1552544_at",-0.221562735087788
"1552546_a_at",0.111105284413334
"1552548_at",-0.171382012965911
"1552549_a_at",0.110072128704119
"1552552_s_at",-0.0460231565945659
"1552553_a_at",-0.385537651244656
"1552554_a_at",0.0628714721345942
"1552555_at",-0.0376566978601216
"1552557_a_at",0.18846865484663
"1552558_a_at",-0.105951472161424
"1552559_a_at",-0.117792699814992
"1552562_at",0.118651729332688
"1552563_a_at",0.0931316280297394
"1552564_at",-0.0274293425223167
"1552566_at",-0.215916888292815
"1552568_at",0.108379307477245
"1552569_a_at",-0.0382537895531101
"1552570_at",0.127575861741362
"1552572_a_at",0.0700135331922666
"1552573_s_at",0.40351972395319
"1552575_a_at",0.0344587932079732
"1552576_at",-0.0575566643466663
"1552578_a_at",-0.169910362813754
"1552579_a_at",0.0392893088843556
"1552580_at",-0.242834664409423
"1552582_at",-0.246830306579605
"1552583_s_at",-0.16998716101291
"1552584_at",-0.296729960476035
"1552585_s_at",-0.0361335452529685
"1552586_at",-0.0521832187393183
"1552587_at",-0.132236471282665
"1552588_a_at",-0.100574193494951
"1552590_a_at",-0.106811255308355
"1552592_at",-0.147558656514338
"1552594_at",-0.242206992401476
"1552596_at",-0.0756925651919338
"1552598_at",0.00134413384664134
"1552599_at",-0.0869240015633106
"1552602_at",-0.0233012804699131
"1552604_at",-0.130325862617835
"1552605_s_at",-0.0686492523346625
"1552607_at",-0.0978701598833971
"1552608_at",0.0445291984906393
"1552609_s_at",-0.0823417484704314
"1552610_a_at",-0.0958655775211099
"1552611_a_at",-0.171081796043807
"1552612_at",0.152743010518305
"1552613_s_at",0.136695495887425
"1552615_at",0.102495089477567
"1552616_a_at",-0.117903720061921
"1552617_a_at",0.0794626544859915
"1552618_at",0.0175977115641754
"1552619_a_at",0.670033476540801
"1552620_at",0.170202730585927
"1552621_at",-0.0877098034416806
"1552622_s_at",-0.154124299738183
"1552623_at",-0.211246977637472
"1552625_a_at",-0.0429653997977948
"1552626_a_at",-0.224560295906586
"1552627_a_at",0.0322209850960511
"1552628_a_at",-0.15051481172913
"1552629_a_at",-0.0664503913374197
"1552630_a_at",0.0785257194395563
"1552631_a_at",-0.115878176784978
"1552632_a_at",-0.197156388325402
"1552633_at",0.0416476979500866
"1552634_a_at",-0.0824894692632285
"1552637_at",-0.00647944280356416
"1552639_at",0.0866789199525433
"1552641_s_at",0.114053470250832
"1552643_at",0.0901356145954377
"1552644_a_at",-0.242239321089145
"1552646_at",-0.0551608627095472
"1552648_a_at",-0.229305578381236
"1552649_a_at",0.0357886774768716
"1552651_a_at",0.197633453227416
"1552652_at",-0.0231684174053446
"1552656_s_at",0.272304713721874
"1552657_a_at",-0.0549023198041099
"1552658_a_at",-0.167609371960082
"1552660_a_at",0.431928230618551
"1552661_at",-0.196505807762569
"1552662_a_at",-0.129946157940413
"1552663_a_at",0.128338454188315
"1552664_at",-0.0223742781224712
"1552665_at",-0.102515405873493
"1552666_a_at",0.0393368137585899
"1552667_a_at",-0.206192393627191
"1552669_at",-0.181216492676745
"1552670_a_at",0.0333186735350386
"1552671_a_at",0.106215116475272
"1552672_a_at",0.177820052397875
"1552673_at",0.0184663580577937
"1552674_at",-0.0744506759750606
"1552675_at",-0.159421941628329
"1552676_at",0.0119999138865365
"1552677_a_at",0.025527540263079
"1552678_a_at",0.108378306377592
"1552680_a_at",0.473582960694664
"1552682_a_at",0.261815117547378
"1552684_a_at",0.163914471698394
"1552685_a_at",0.03684292775435
"1552686_at",-0.0891526157809472
"1552687_a_at",0.00935761969046567
"1552689_at",0.154248334125512
"1552690_a_at",-0.119157322839355
"1552691_at",-0.631262961461872
"1552693_at",-0.158380134932558
"1552694_at",-0.0181640876653579
"1552695_a_at",0.125892524913963
"1552696_at",0.0990299308401676
"1552698_at",0.0959656865784997
"1552701_a_at",-0.539199462957013
"1552703_s_at",-0.437947335158053
"1552705_at",0.103525013216552
"1552708_a_at",0.0356395372198186
"1552711_a_at",-0.0657979337102808
"1552712_a_at",0.130839490464046
"1552713_a_at",-0.0875079705054378
"1552714_at",0.0152719704038202
"1552715_a_at",-0.65360781676817
"1552716_at",-0.0868373309276087
