"","x"
"1552575_a_at",0.164023181681159
"1552576_at",0.0678566887640228
"1552578_a_at",0.074043967752278
"1552579_a_at",0.0672480703779512
"1552580_at",0.0478711678672343
"1552582_at",-0.0223988050206911
"1552583_s_at",-0.0778396263542385
"1552584_at",-0.201472467034072
"1552585_s_at",0.062234534134168
"1552586_at",0.0919368742995081
"1552587_at",0.0741994992212414
"1552588_a_at",0.095252887763724
"1552590_a_at",0.067869880970864
"1552592_at",0.0614945791827306
"1552594_at",-0.159713238431868
"1552596_at",-0.00881907752304101
"1552598_at",-0.00282337652207998
"1552599_at",0.0394800991532673
"1552602_at",-0.0271064951995001
"1552604_at",-0.0569357372877743
"1552605_s_at",0.0370843653845865
"1552607_at",-0.124485601694011
"1552608_at",0.0359672818369585
"1552609_s_at",0.0678663647867903
"1552610_a_at",-0.105020677847492
"1552611_a_at",-0.0581254216719733
"1552612_at",-0.033883694462066
"1552613_s_at",-0.00181385587225757
"1552615_at",0.0625074962956345
"1552616_a_at",-0.0570962881629107
"1552617_a_at",-0.0229003667127221
"1552618_at",0.02464482484964
"1552619_a_at",0.536758612056089
"1552620_at",-0.0266244242189315
"1552621_at",0.081068687467797
"1552622_s_at",0.0815543272653065
"1552623_at",0.108477367246971
"1552625_a_at",0.000778139544841627
"1552626_a_at",-0.247645157230513
"1552627_a_at",-0.0359358700829195
"1552628_a_at",-0.014257996893356
"1552629_a_at",0.021377440836311
"1552630_a_at",0.0179715024639651
"1552631_a_at",-0.108985088884991
"1552632_a_at",-0.0885360569736988
"1552633_at",-0.0105627142377782
"1552634_a_at",-0.0202694191725157
"1552637_at",0.0487145703247489
"1552639_at",0.181089725713489
"1552641_s_at",0.0484995491060678
"1552643_at",-0.0635221840855491
"1552644_a_at",0.0409622637206501
"1552646_at",-0.00943321861055302
"1552648_a_at",-0.0355638008965831
"1552649_a_at",0.026039756646826
"1552651_a_at",0.101158187375793
"1552652_at",0.0491197305702229
"1552656_s_at",0.12897801319717
"1552657_a_at",0.018668517152544
"1552658_a_at",-0.252162747558762
"1552660_a_at",0.0778146609755468
"1552661_at",0.0375590339906079
"1552662_a_at",-0.00942351838689715
"1552663_a_at",0.0181300306187022
"1552664_at",-0.184507968763562
"1552665_at",0.0442206835224848
"1552666_a_at",0.0967767784189408
"1552667_a_at",-0.315810249311375
"1552669_at",0.0593096985700885
"1552670_a_at",-0.0185254989031669
"1552671_a_at",0.106076011383581
"1552672_a_at",0.094240876871365
"1552673_at",0.148604263314446
"1552674_at",0.10466673034386
"1552675_at",0.0727238921923563
"1552676_at",0.0800079033977668
"1552677_a_at",0.047246852938587
"1552678_a_at",0.128985846768982
"1552680_a_at",0.336967260993329
"1552682_a_at",0.17149461178176
"1552684_a_at",-0.0491147315038047
"1552685_a_at",0.111358426498119
"1552686_at",0.0850004881751008
"1552687_a_at",0.101724767958394
"1552689_at",0.0029524577111637
"1552690_a_at",-0.0320564177501506
"1552691_at",-0.192379818785791
"1552693_at",0.0349081209224416
"1552694_at",0.0760560599976619
"1552695_a_at",-0.0300941499262759
"1552696_at",0.106468604705957
"1552698_at",0.0841425742909652
"1552701_a_at",-0.196217450298542
"1552703_s_at",-0.240915287956082
"1552705_at",-0.141560239937748
"1552708_a_at",0.0799723313342271
"1552711_a_at",-0.127872037030316
"1552712_a_at",-0.0167396757289813
"1552713_a_at",0.0334293790393263
"1552714_at",0.12323148935069
"1552715_a_at",-0.400534227737096
"1552716_at",-0.238189552156191
"1552717_s_at",0.02877411220277
"1552718_at",-0.00990040624695254
"1552719_at",-0.0110033719528408
"1552721_a_at",0.0197100600333662
"1552722_at",0.0771489675880944
"1552724_at",0.0135893009308865
"1552725_s_at",0.0163685106071092
"1552726_at",-0.0736328928351853
"1552727_s_at",-0.120146181802957
"1552729_at",-0.0138084888913508
"1552730_at",0.0267888530717439
"1552731_at",0.0409942792244291
"1552732_at",0.0269504495573103
"1552733_at",-0.399854830380139
